"path","category","current_status","proposed_disposition","canonical_target","notes"
"docs/CURRENT_STATE.md","current-state","active","retain","docs/CURRENT_STATE.md","Single active operational handoff; update in place."
"docs/PROJECT_MANUAL.md","project-manual","active","retain","docs/PROJECT_MANUAL.md","Master documentation front door."
"docs/README.md","router","active","simplify","docs/PROJECT_MANUAL.md","Keep as a short compatibility router."
"docs/decisions/adr-0001-google-sign-in.md","decision","accepted-or-historical","retain","docs/decisions/adr-0001-google-sign-in.md","Append-only ADR; later ADR may supersede."
"docs/decisions/adr-0002-cohort-schedule-and-material-sync.md","decision","accepted-or-historical","retain","docs/decisions/adr-0002-cohort-schedule-and-material-sync.md","Append-only ADR; later ADR may supersede."
"docs/decisions/adr-0003-weekly-course-schedule.md","decision","accepted-or-historical","retain","docs/decisions/adr-0003-weekly-course-schedule.md","Append-only ADR; later ADR may supersede."
"docs/decisions/adr-0004-defer-weekly-schedule-redesign.md","decision","accepted-or-historical","retain","docs/decisions/adr-0004-defer-weekly-schedule-redesign.md","Append-only ADR; later ADR may supersede."
"docs/development/coding-rules.md","development-guide","superseded","retain-history","docs/governance/engineering-handbook.md","Unique engineering rules merged into handbook."
"docs/development/current-code-landscape-and-cleanup-plan.md","architecture-history","stale-review-required","archive-after-review","docs/development/current-code-landscape-and-cleanup-plan.md","Retain as dated historical landscape."
"docs/governance/document-conventions.md","governance","superseded","retain-history","docs/governance/engineering-handbook.md","Unique documentation rules merged into handbook."
"docs/governance/document-inventory.csv","inventory","active","retain-until-closeout","docs/governance/document-inventory.csv","Machine-readable consolidation disposition map."
"docs/governance/documentation-consolidation-project.md","project","active","retain-until-closeout","docs/governance/documentation-consolidation-project.md","Archive after consolidation closes."
"docs/governance/engineering-handbook.md","governance","draft","retain","docs/governance/engineering-handbook.md","Canonical engineering and handoff rules."
"docs/handoffs/ace-club-lms-running-handoff.md","handoff-history","historical","mark-archived","docs/handoffs/ace-club-lms-running-handoff.md","Remove from normal resume path; preserve content."
"docs/handoffs/pilot-iterations-running-handoff.md","handoff-history","historical","mark-archived","docs/handoffs/pilot-iterations-running-handoff.md","Remove from normal resume path; preserve content."
"docs/master-worksheet-questions.md","feature-reference","active","move-after-link-review","docs/features/worksheets/README.md","Preserve stable path until redirects/links are ready."
"docs/phase-1/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-1/README.md","Preserve; remove active continuation language."
"docs/phase-1/evidence/deployment-environment-inventory-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/deployment-environment-inventory-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/lint-classification-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/lint-classification-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/notion-route-containment-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/notion-route-containment-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/privileged-route-containment-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/privileged-route-containment-2026-07-31.json","Dated evidence; never rewrite."
